County,SiteName,Grade,"# Documentation Required
(Adjusted Enrollment)","# Vaccinated:
DTaP/Tdap","% Vaccinated:
DTaP/Tdap","# Vaccinated:
Polio","% Vaccinated:
Polio","# Vaccinated:
Varicella","% Vaccinated:
Varicella","# Vaccinated:
MMR1","% Vaccinated:
Mumps/Rubella","# Vaccinated:
Measles","% Vaccinated:
Measles","# Vaccinated:
HepB","% Vaccinated:
HepB","# Requiring
HepA","# Vaccinated:
HepA","% Vaccinated:
HepA","# with all
vaccines required","% with all
vaccines required","# Nonmedical Exemptions
Any Vaccines","% Nonmedical Exemptions
Any Vaccines","# Exemption:
DTaP/Tdap","% Exemption:
DTaP/Tdap","# Exemption:
Polio","% Exemption:
Polio","# Exemption:
Varicella","% Exemption:
Varicella","# Exemption:
Measles","% Exemption:
Measles","# Exemption:
Mumps","% Exemption:
Mumps","# Exemption:
Rubella","% Exemption:
Rubella","# Exemption:
HepB","% Exemption:
HepB","# Exemption:
HepA","% Exemption:
HepA","# Nonmedical Exemptions
All Vaccines","% Nonmedical Exemptions
All Vaccines",# No Record,% No Record,"# w/ Medical
Exemption(s)","% w/ Medical
Exemption(s)",# Not Counted
Josephine,APPLEGATE ELEMENTARY,FULL SCHOOL GRADES K-12,100,71,71%,73,73%,77,77%,77,77%,73,73%,76,76%,100,77,77%,71,71%,29,29%,29,29%,27,27%,23,23%,27,27%,23,23%,23,23%,24,24%,23,23%,23,23%,0,0%,0,0%,0
Josephine,Brighton Academy,FULL SCHOOL GRADES K-12,101,80,79%,83,82%,83,82%,81,80%,81,80%,83,82%,93,74,80%,78,77%,23,23%,21,21%,18,18%,18,18%,20,20%,20,20%,20,20%,18,18%,20,22%,18,18%,0,0%,0,0%,0
Josephine,Busy Bee Child Care,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josephine,Community Christian Academy,FULL SCHOOL GRADES K-12,29,26,90%,26,90%,27,93%,27,93%,27,93%,26,90%,29,26,90%,26,90%,3,10%,3,10%,3,10%,2,7%,2,7%,2,7%,2,7%,3,10%,2,7%,2,7%,0,0%,0,0%,0
Josephine,Dome School,FULL SCHOOL GRADES K-12,47,17,36%,17,36%,20,43%,20,43%,20,43%,19,40%,47,17,36%,13,28%,34,72%,30,64%,30,64%,27,57%,27,57%,27,57%,27,57%,18,38%,29,62%,18,38%,0,0%,0,0%,0
Josephine,Evergreen Elementary,FULL SCHOOL GRADES K-12,371,302,81%,306,82%,324,87%,324,87%,308,83%,322,87%,371,319,86%,296,80%,68,18%,64,17%,63,17%,47,13%,61,16%,47,13%,47,13%,49,13%,52,14%,43,12%,0,0%,0,0%,0
Josephine,FLEMING MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,400,369,92%,378,95%,386,97%,387,97%,378,95%,385,96%,400,385,96%,364,91%,34,9%,30,8%,22,6%,14,4%,22,6%,12,3%,12,3%,15,4%,15,4%,12,3%,0,0%,0,0%,0
Josephine,Fort Vannoy,FULL SCHOOL GRADES K-12,236,221,94%,221,94%,223,94%,226,96%,224,95%,220,93%,236,224,95%,216,92%,19,8%,14,6%,14,6%,13,6%,12,5%,10,4%,10,4%,15,6%,12,5%,9,4%,0,0%,0,0%,0
Josephine,FRUITDALE ELEMENTARY,FULL SCHOOL GRADES K-12,383,361,94%,360,94%,368,96%,369,96%,359,94%,365,95%,383,369,96%,355,93%,25,7%,20,5%,20,5%,14,4%,22,6%,13,3%,13,3%,16,4%,14,4%,12,3%,0,0%,0,0%,0
Josephine,Grants Pass Adventist School,FULL SCHOOL GRADES K-12,45,32,71%,32,71%,35,78%,32,71%,32,71%,34,76%,45,33,73%,32,71%,13,29%,13,29%,13,29%,10,22%,13,29%,13,29%,13,29%,11,24%,12,27%,10,22%,0,0%,0,0%,0
Josephine,Grants Pass High School,FULL SCHOOL GRADES K-12,"1,828","1,701",93%,"1,723",94%,"1,727",94%,"1,731",95%,"1,726",94%,"1,732",95%,943,788,84%,"1,683",92%,117,6%,112,6%,91,5%,84,5%,89,5%,87,5%,86,5%,84,5%,88,9%,84,5%,0,0%,2,0%,0
Josephine,Hidden Valley High,FULL SCHOOL GRADES K-12,556,495,89%,512,92%,521,94%,522,94%,513,92%,517,93%,295,275,93%,493,89%,62,11%,60,11%,44,8%,35,6%,43,8%,34,6%,34,6%,39,7%,19,6%,32,6%,0,0%,0,0%,0
Josephine,Highland Elementary School,FULL SCHOOL GRADES K-12,481,449,93%,450,94%,448,93%,451,94%,450,94%,449,93%,481,450,94%,448,93%,33,7%,32,7%,31,6%,32,7%,31,6%,30,6%,30,6%,32,7%,31,6%,30,6%,0,0%,0,0%,0
Josephine,Illinois Valley High,FULL SCHOOL GRADES K-12,304,263,87%,276,91%,284,93%,287,94%,278,91%,277,91%,146,132,90%,260,86%,41,13%,40,13%,27,9%,20,7%,26,9%,17,6%,17,6%,26,9%,14,10%,17,6%,0,0%,0,0%,0
Josephine,Lincoln Elementary,FULL SCHOOL GRADES K-12,434,403,93%,403,93%,404,93%,407,94%,404,93%,406,94%,434,400,92%,395,91%,33,8%,29,7%,29,7%,27,6%,30,7%,30,7%,30,7%,28,6%,29,7%,27,6%,0,0%,0,0%,0
Josephine,Lincoln Savage Middle,FULL SCHOOL GRADES K-12,392,365,93%,372,95%,378,96%,377,96%,371,95%,375,96%,392,376,96%,360,92%,30,8%,25,6%,19,5%,14,4%,20,5%,15,4%,15,4%,16,4%,16,4%,14,4%,0,0%,0,0%,0
Josephine,Lorna Byrne Middle,FULL SCHOOL GRADES K-12,309,265,86%,271,88%,277,90%,280,91%,272,88%,278,90%,309,275,89%,256,83%,51,17%,44,14%,37,12%,32,10%,37,12%,29,9%,29,9%,30,10%,34,11%,27,9%,0,0%,0,0%,0
Josephine,Madrona Elementary,FULL SCHOOL GRADES K-12,334,293,88%,291,87%,296,89%,298,89%,293,88%,297,89%,334,295,88%,287,86%,47,14%,41,12%,43,13%,38,11%,41,12%,36,11%,36,11%,37,11%,39,12%,33,10%,0,0%,0,0%,0
Josephine,Madrone Adventist Elementary School,FULL SCHOOL GRADES K-12,23,16,70%,16,70%,16,70%,16,70%,16,70%,16,70%,23,16,70%,16,70%,7,30%,7,30%,7,30%,7,30%,7,30%,7,30%,7,30%,7,30%,7,30%,7,30%,0,0%,0,0%,0
Josephine,Manzanita Elementary,FULL SCHOOL GRADES K-12,370,343,93%,345,93%,349,94%,350,95%,347,94%,344,93%,370,345,93%,338,91%,28,8%,25,7%,23,6%,21,6%,23,6%,20,5%,20,5%,23,6%,25,7%,19,5%,0,0%,0,0%,0
Josephine,"Miss Heather's Preschool, Daycare & After School C",FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josephine,New Hope Christian School,FULL SCHOOL GRADES K-12,191,141,74%,138,72%,140,73%,140,73%,140,73%,138,72%,186,137,74%,138,72%,53,28%,50,26%,53,28%,51,27%,51,27%,51,27%,51,27%,53,28%,49,26%,48,25%,0,0%,0,0%,0
Josephine,Newbridge High School,FULL SCHOOL GRADES K-12,75,73,97%,74,99%,75,100%,75,100%,74,99%,74,99%,11,11,100%,73,97%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Josephine,NORTH MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,811,756,93%,763,94%,763,94%,767,95%,767,95%,765,94%,811,763,94%,750,92%,54,7%,49,6%,47,6%,48,6%,44,5%,44,5%,44,5%,46,6%,47,6%,44,5%,0,0%,0,0%,0
Josephine,North Valley High,FULL SCHOOL GRADES K-12,442,414,94%,420,95%,422,95%,424,96%,420,95%,424,96%,227,213,94%,411,93%,28,6%,26,6%,21,5%,19,4%,21,5%,17,4%,17,4%,18,4%,12,5%,15,3%,0,0%,2,0%,0
Josephine,Parkside Elementary,FULL SCHOOL GRADES K-12,464,435,94%,437,94%,437,94%,437,94%,436,94%,438,94%,464,434,94%,430,93%,31,7%,27,6%,26,6%,26,6%,27,6%,26,6%,26,6%,25,5%,26,6%,25,5%,0,0%,0,0%,0
Josephine,Redwood Elementary,FULL SCHOOL GRADES K-12,487,431,89%,433,89%,436,90%,436,90%,436,90%,436,90%,487,433,89%,429,88%,57,12%,55,11%,54,11%,51,10%,51,10%,51,10%,51,10%,51,10%,53,11%,51,10%,0,0%,0,0%,0
Josephine,Riverside Elementary,FULL SCHOOL GRADES K-12,397,375,94%,375,94%,378,95%,378,95%,377,95%,378,95%,397,375,94%,368,93%,23,6%,17,4%,17,4%,16,4%,17,4%,16,4%,16,4%,16,4%,19,5%,16,4%,0,0%,2,1%,0
Josephine,South Middle School,FULL SCHOOL GRADES K-12,675,631,93%,637,94%,639,95%,640,95%,637,94%,642,95%,675,635,94%,625,93%,43,6%,42,6%,37,5%,35,5%,36,5%,33,5%,33,5%,31,5%,35,5%,30,4%,0,0%,0,0%,0
Josephine,ST. ANNES CATHOLIC SCHOOL,FULL SCHOOL GRADES K-12,51,47,92%,47,92%,47,92%,47,92%,47,92%,47,92%,51,47,92%,47,92%,4,8%,4,8%,4,8%,4,8%,4,8%,4,8%,4,8%,4,8%,4,8%,4,8%,0,0%,0,0%,0
Josephine,Sunny Wolf Charter School,FULL SCHOOL GRADES K-12,102,86,84%,86,84%,91,89%,94,92%,87,85%,92,90%,102,92,90%,85,83%,17,17%,16,16%,16,16%,11,11%,15,15%,8,8%,9,9%,10,10%,10,10%,7,7%,0,0%,0,0%,0
Josephine,Vineyard Christian School,FULL SCHOOL GRADES K-12,63,47,75%,47,75%,51,81%,51,81%,48,76%,52,83%,63,50,79%,44,70%,19,30%,16,25%,16,25%,12,19%,15,24%,12,19%,12,19%,11,17%,13,21%,11,17%,0,0%,0,0%,0
Josephine,WILLIAMS ELEMENTARY,FULL SCHOOL GRADES K-12,70,51,73%,51,73%,53,76%,55,79%,52,74%,54,77%,70,53,76%,49,70%,21,30%,19,27%,19,27%,17,24%,18,26%,15,21%,15,21%,16,23%,17,24%,15,21%,0,0%,0,0%,0
Josephine,Woodland Charter School,FULL SCHOOL GRADES K-12,170,60,35%,58,34%,63,37%,62,36%,60,35%,61,36%,170,61,36%,53,31%,117,69%,110,65%,112,66%,106,62%,110,65%,108,64%,108,64%,109,64%,109,64%,102,60%,0,0%,0,0%,0
Klamath,Bonanza Elementary School,FULL SCHOOL GRADES K-12,224,200,89%,202,90%,203,91%,201,90%,200,89%,202,90%,224,197,88%,197,88%,24,11%,24,11%,22,10%,21,9%,24,11%,23,10%,23,10%,21,9%,24,11%,21,9%,0,0%,0,0%,0
Klamath,Bonanza Jr/Sr High School,FULL SCHOOL GRADES K-12,184,174,95%,183,99%,183,99%,181,98%,181,98%,182,99%,126,120,95%,168,91%,12,7%,10,5%,1,1%,1,1%,3,2%,3,2%,3,2%,2,1%,2,2%,0,0%,0,0%,0,0%,0
Klamath,Brixner Junior High School,FULL SCHOOL GRADES K-12,385,380,99%,383,99%,384,100%,384,100%,383,99%,384,100%,385,381,99%,378,98%,1,0%,1,0%,0,0%,0,0%,1,0%,1,0%,1,0%,0,0%,1,0%,0,0%,0,0%,0,0%,0
Klamath,Chiloquin Elementary School,FULL SCHOOL GRADES K-12,188,176,94%,179,95%,180,96%,179,95%,178,95%,180,96%,188,177,94%,175,93%,8,4%,8,4%,7,4%,7,4%,8,4%,8,4%,8,4%,7,4%,8,4%,7,4%,1,1%,0,0%,0
Klamath,Chiloquin Junior Senior High School,FULL SCHOOL GRADES K-12,122,119,98%,120,98%,119,98%,120,98%,120,98%,120,98%,86,82,95%,116,95%,4,3%,3,2%,2,2%,3,2%,2,2%,2,2%,2,2%,2,2%,2,2%,2,2%,0,0%,0,0%,0
Klamath,Conger Elementary School,FULL SCHOOL GRADES K-12,399,386,97%,386,97%,390,98%,391,98%,387,97%,388,97%,399,385,96%,384,96%,11,3%,10,3%,11,3%,9,2%,10,3%,8,2%,8,2%,9,2%,10,3%,6,2%,0,0%,0,0%,0
Klamath,Eagle Ridge High School,FULL SCHOOL GRADES K-12,188,183,97%,184,98%,184,98%,184,98%,182,97%,183,97%,110,105,95%,177,94%,6,3%,4,2%,3,2%,3,2%,4,2%,3,2%,3,2%,3,2%,4,4%,0,0%,1,1%,0,0%,0
Klamath,Falcon Heights Academy,FULL SCHOOL GRADES K-12,93,80,86%,86,92%,88,95%,85,91%,85,91%,86,92%,17,16,94%,80,86%,13,14%,13,14%,7,8%,5,5%,7,8%,7,8%,7,8%,6,6%,1,6%,4,4%,0,0%,0,0%,0
Klamath,Ferguson Elementary School,FULL SCHOOL GRADES K-12,527,507,96%,512,97%,518,98%,515,98%,512,97%,515,98%,527,505,96%,498,94%,12,2%,12,2%,10,2%,9,2%,12,2%,12,2%,12,2%,10,2%,11,2%,8,2%,0,0%,0,0%,0
Klamath,Gearhart Elementary School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klamath,Gilchrist Elementary School,FULL SCHOOL GRADES K-12,135,131,97%,134,99%,133,99%,131,97%,130,96%,134,99%,135,131,97%,126,93%,3,2%,3,2%,1,1%,1,1%,3,2%,3,2%,3,2%,1,1%,1,1%,1,1%,0,0%,1,1%,0
Klamath,Gilchrist Junior Senior High School,FULL SCHOOL GRADES K-12,86,85,99%,86,100%,86,100%,86,100%,86,100%,86,100%,58,58,100%,85,99%,1,1%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Klamath,Great Basin Home School Center,FULL SCHOOL GRADES K-12,166,137,83%,149,90%,147,89%,141,85%,138,83%,151,91%,153,127,83%,131,79%,31,19%,26,16%,17,10%,19,11%,28,17%,25,15%,25,15%,15,9%,25,16%,15,9%,0,0%,0,0%,0
Klamath,Henley Elementary School,FULL SCHOOL GRADES K-12,553,544,98%,545,99%,547,99%,543,98%,543,98%,546,99%,553,546,99%,542,98%,10,2%,8,1%,7,1%,5,1%,9,2%,9,2%,9,2%,6,1%,6,1%,4,1%,0,0%,0,0%,0
Klamath,Henley High School,FULL SCHOOL GRADES K-12,669,646,97%,659,99%,660,99%,656,98%,656,98%,660,99%,354,335,95%,641,96%,16,2%,16,2%,7,1%,6,1%,11,2%,10,1%,10,1%,6,1%,9,3%,6,1%,1,0%,0,0%,0
Klamath,Henley Middle School,FULL SCHOOL GRADES K-12,361,346,96%,352,98%,351,97%,348,96%,347,96%,353,98%,361,351,97%,342,95%,17,5%,14,4%,8,2%,8,2%,13,4%,12,3%,12,3%,7,2%,8,2%,7,2%,0,0%,0,0%,0
Klamath,Henley Transition House,FULL SCHOOL GRADES K-12,25,25,100%,25,100%,25,100%,25,100%,25,100%,25,100%,25,25,100%,25,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Klamath,Hosanna Christian School,FULL SCHOOL GRADES K-12,187,183,98%,180,96%,181,97%,184,98%,184,98%,179,96%,155,148,95%,179,96%,8,4%,4,2%,7,4%,6,3%,3,2%,3,2%,3,2%,8,4%,7,5%,3,2%,0,0%,0,0%,4
Klamath,Keno Elementary School,FULL SCHOOL GRADES K-12,217,208,96%,211,97%,213,98%,208,96%,208,96%,215,99%,217,207,95%,203,94%,11,5%,7,3%,4,2%,4,2%,9,4%,9,4%,9,4%,1,0%,8,4%,1,0%,0,0%,1,0%,0
Klamath,Klamath Adult Learning Center,FULL SCHOOL GRADES K-12,100,100,100%,100,100%,100,100%,100,100%,99,99%,100,100%,38,38,100%,99,99%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,10
Klamath,Klamath Basin Behavioral Health,FULL SCHOOL GRADES K-12,24,24,100%,24,100%,24,100%,24,100%,24,100%,24,100%,24,24,100%,24,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Klamath,KLamath Falls Adventist Christian School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klamath,Klamath Union/Almeda House,FULL SCHOOL GRADES K-12,606,596,98%,588,97%,585,97%,588,97%,582,96%,586,97%,317,307,97%,571,94%,24,4%,15,2%,14,2%,15,2%,17,3%,12,2%,12,2%,14,2%,10,3%,0,0%,5,1%,0,0%,0
Klamath,Lost River Junior Senior High School,FULL SCHOOL GRADES K-12,222,217,98%,218,98%,218,98%,218,98%,218,98%,142,64%,142,139,98%,142,64%,4,2%,4,2%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,2,1%,3,1%,1,0%,0,0%,0
Klamath,Malin Elementary School,FULL SCHOOL GRADES K-12,131,125,95%,127,97%,128,98%,129,98%,127,97%,129,98%,131,127,97%,124,95%,3,2%,2,2%,2,2%,2,2%,3,2%,2,2%,2,2%,2,2%,3,2%,2,2%,0,0%,0,0%,0
Klamath,Mazama High School,FULL SCHOOL GRADES K-12,692,684,99%,689,100%,688,99%,689,100%,689,100%,689,100%,393,382,97%,675,98%,7,1%,6,1%,2,0%,2,0%,2,0%,2,0%,2,0%,2,0%,3,1%,2,0%,1,0%,1,0%,0
Klamath,Merrill Elementary School,FULL SCHOOL GRADES K-12,138,135,98%,135,98%,136,99%,136,99%,136,99%,137,99%,138,134,97%,134,97%,2,1%,2,1%,2,1%,2,1%,2,1%,2,1%,2,1%,1,1%,2,1%,1,1%,0,0%,0,0%,0
Klamath,Mills Elementary School,FULL SCHOOL GRADES K-12,364,356,98%,362,99%,351,96%,353,97%,349,96%,349,96%,364,356,98%,349,96%,2,1%,2,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Klamath,Our Place to Grow,FULL SCHOOL GRADES K-12,13,12,92%,12,92%,12,92%,12,92%,12,92%,12,92%,13,12,92%,12,92%,1,8%,1,8%,1,8%,1,8%,1,8%,1,8%,1,8%,1,8%,1,8%,1,8%,0,0%,0,0%,0
Klamath,Pelican Elementary School,FULL SCHOOL GRADES K-12,248,231,93%,233,94%,235,95%,236,95%,234,94%,235,95%,248,232,94%,229,92%,4,2%,4,2%,4,2%,4,2%,4,2%,4,2%,4,2%,3,1%,4,2%,3,1%,0,0%,1,0%,0
Klamath,Peterson Elementary School,FULL SCHOOL GRADES K-12,655,643,98%,650,99%,646,99%,647,99%,645,98%,649,99%,655,643,98%,638,97%,10,2%,8,1%,4,1%,8,1%,9,1%,8,1%,8,1%,5,1%,8,1%,4,1%,0,0%,0,0%,0
Klamath,PONDEROSA MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,626,617,99%,616,98%,617,99%,617,99%,616,98%,616,98%,626,611,98%,605,97%,16,3%,10,2%,10,2%,9,1%,10,2%,9,1%,9,1%,10,2%,11,2%,2,0%,0,0%,0,0%,0
Klamath,Roosevelt Elementary School,FULL SCHOOL GRADES K-12,383,374,98%,372,97%,373,97%,373,97%,373,97%,371,97%,383,372,97%,369,96%,13,3%,9,2%,10,3%,10,3%,10,3%,10,3%,10,3%,12,3%,11,3%,9,2%,0,0%,0,0%,0
Klamath,Sage Charter School,FULL SCHOOL GRADES K-12,50,43,86%,48,96%,48,96%,45,90%,45,90%,49,98%,50,42,84%,39,78%,10,20%,7,14%,2,4%,2,4%,5,10%,5,10%,5,10%,1,2%,7,14%,1,2%,0,0%,0,0%,0
Klamath,Shasta Elementary School,FULL SCHOOL GRADES K-12,517,499,97%,505,98%,506,98%,497,96%,495,96%,508,98%,517,501,97%,494,96%,20,4%,17,3%,11,2%,10,2%,20,4%,19,4%,19,4%,9,2%,14,3%,9,2%,0,0%,0,0%,0
Klamath,Stearns Elementary School,FULL SCHOOL GRADES K-12,367,360,98%,364,99%,362,99%,362,99%,359,98%,364,99%,367,359,98%,354,96%,9,2%,6,2%,3,1%,4,1%,6,2%,5,1%,5,1%,3,1%,7,2%,0,0%,0,0%,0,0%,0
Klamath,Transition Program - City School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klamath,Triad School,FULL SCHOOL GRADES K-12,150,143,95%,146,97%,148,99%,147,98%,147,98%,148,99%,126,123,98%,143,95%,7,5%,7,5%,4,3%,2,1%,3,2%,3,2%,3,2%,2,1%,2,2%,1,1%,0,0%,0,0%,0
Lake,A D Hay School and Fremont School,FULL SCHOOL GRADES K-12,353,347,98%,347,98%,347,98%,350,99%,347,98%,349,99%,353,347,98%,344,97%,6,2%,5,1%,4,1%,5,1%,5,1%,2,1%,2,1%,2,1%,3,1%,2,1%,0,0%,1,0%,1
Lake,Adel School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Daly Middle School,FULL SCHOOL GRADES K-12,115,112,97%,114,99%,114,99%,114,99%,114,99%,114,99%,115,114,99%,112,97%,3,3%,3,3%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,1,1%,0,0%,0,0%,0
Lake,Lakeview High School,FULL SCHOOL GRADES K-12,236,230,97%,233,99%,234,99%,235,100%,234,99%,236,100%,109,106,97%,229,97%,6,3%,5,2%,2,1%,2,1%,1,0%,1,0%,1,0%,0,0%,3,3%,0,0%,0,0%,1,0%,0
Lake,North Lake School,FULL SCHOOL GRADES K-12,227,216,95%,219,96%,223,98%,223,98%,221,97%,220,97%,142,136,96%,215,95%,12,5%,7,3%,6,3%,5,2%,6,3%,5,2%,5,2%,7,3%,8,6%,5,2%,0,0%,0,0%,0
Lake,PAISLEY DISTANCE LEARNING ON LINE SCHOOL,FULL SCHOOL GRADES K-12,134,84,63%,82,61%,88,66%,94,70%,84,63%,88,66%,134,82,61%,75,56%,58,43%,49,37%,51,38%,46,34%,50,37%,40,30%,40,30%,46,34%,52,39%,40,30%,0,0%,0,0%,0
Lake,Paisley School District-Brick,FULL SCHOOL GRADES K-12,75,68,91%,69,92%,69,92%,69,92%,68,91%,68,91%,47,38,81%,65,87%,8,11%,7,9%,6,8%,6,8%,7,9%,6,8%,6,8%,7,9%,7,15%,6,8%,0,0%,0,0%,0
Lake,Plush Elementary,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Solid Rock Christian School,FULL SCHOOL GRADES K-12,39,39,100%,39,100%,39,100%,39,100%,39,100%,39,100%,32,32,100%,39,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Lake,Union Elementary,FULL SCHOOL GRADES K-12,45,44,98%,43,96%,44,98%,44,98%,43,96%,44,98%,45,43,96%,43,96%,2,4%,1,2%,2,4%,1,2%,2,4%,1,2%,1,2%,1,2%,2,4%,1,2%,0,0%,0,0%,0
Lane,Academy of Arts & Academics,FULL SCHOOL GRADES K-12,239,208,87%,214,90%,213,89%,215,90%,213,89%,211,88%,115,95,83%,204,85%,34,14%,31,13%,25,10%,26,11%,26,11%,24,10%,24,10%,27,11%,20,17%,22,9%,0,0%,0,0%,0
Lane,ACE Charter School,FULL SCHOOL GRADES K-12,104,91,88%,91,88%,91,88%,91,88%,91,88%,91,88%,95,82,86%,82,79%,13,13%,13,13%,13,13%,13,13%,13,13%,13,13%,13,13%,13,13%,13,14%,13,13%,0,0%,0,0%,0
Lane,Adams Elementary School,FULL SCHOOL GRADES K-12,446,421,94%,410,92%,417,93%,420,94%,412,92%,407,91%,446,408,91%,398,89%,41,9%,25,6%,33,7%,29,7%,34,8%,26,6%,26,6%,38,9%,34,8%,23,5%,0,0%,0,0%,0
Lane,Agnes Stewart Middle School,FULL SCHOOL GRADES K-12,575,570,99%,569,99%,571,99%,571,99%,569,99%,571,99%,575,567,99%,566,98%,6,1%,5,1%,6,1%,4,1%,6,1%,4,1%,4,1%,4,1%,5,1%,3,1%,0,0%,0,0%,0
Lane,Al Kennedy Alternative High School,FULL SCHOOL GRADES K-12,76,72,95%,75,99%,75,99%,73,96%,73,96%,73,96%,<10,,,72,95%,3,4%,3,4%,1,1%,1,1%,2,3%,2,3%,2,3%,2,3%,,,1,1%,0,0%,0,0%,0
Lane,Applegate Elementary,FULL SCHOOL GRADES K-12,122,117,96%,117,96%,117,96%,117,96%,117,96%,117,96%,122,114,93%,114,93%,5,4%,5,4%,4,3%,3,2%,5,4%,5,4%,5,4%,3,2%,3,2%,3,2%,0,0%,0,0%,0
Lane,Arts and Technology Academy,FULL SCHOOL GRADES K-12,410,378,92%,374,91%,380,93%,383,93%,376,92%,376,92%,410,368,90%,360,88%,46,11%,30,7%,35,9%,30,7%,32,8%,27,7%,27,7%,34,8%,39,10%,19,5%,0,0%,0,0%,0
Lane,Awbrey Park Elementary School,FULL SCHOOL GRADES K-12,438,427,97%,427,97%,431,98%,433,99%,430,98%,427,97%,438,427,97%,423,97%,11,3%,8,2%,10,2%,7,2%,8,2%,5,1%,5,1%,9,2%,10,2%,5,1%,0,0%,0,0%,0
Lane,Big Little School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane,Bohemia Elementary School,FULL SCHOOL GRADES K-12,451,414,92%,418,93%,432,96%,432,96%,429,95%,416,92%,451,422,94%,410,91%,20,4%,20,4%,18,4%,19,4%,20,4%,20,4%,20,4%,18,4%,20,4%,17,4%,0,0%,0,0%,0
Lane,Bridge Charter Academy,FULL SCHOOL GRADES K-12,245,143,58%,161,66%,157,64%,143,58%,141,58%,156,64%,235,142,60%,128,52%,114,47%,100,41%,82,33%,84,34%,103,42%,101,41%,101,41%,87,36%,89,38%,79,32%,0,0%,0,0%,1
Lane,Bridgeway House School,FULL SCHOOL GRADES K-12,79,66,84%,66,84%,69,87%,70,89%,69,87%,64,81%,32,31,97%,60,76%,17,22%,13,16%,13,16%,10,13%,9,11%,8,10%,8,10%,9,11%,1,3%,6,8%,0,0%,1,1%,0
Lane,Briggs Middle School,FULL SCHOOL GRADES K-12,500,487,97%,490,98%,491,98%,493,99%,489,98%,492,98%,500,486,97%,483,97%,15,3%,13,3%,10,2%,9,2%,11,2%,7,1%,7,1%,8,2%,12,2%,6,1%,0,0%,0,0%,0
Lane,Buena Vista Elementary School,FULL SCHOOL GRADES K-12,438,430,98%,430,98%,430,98%,433,99%,431,98%,426,97%,438,429,98%,423,97%,15,3%,8,2%,8,2%,8,2%,7,2%,5,1%,5,1%,12,3%,9,2%,5,1%,0,0%,0,0%,0
Lane,Cal Young Middle School,FULL SCHOOL GRADES K-12,487,475,98%,480,99%,481,99%,482,99%,480,99%,480,99%,487,474,97%,468,96%,16,3%,12,2%,7,1%,6,1%,7,1%,5,1%,5,1%,7,1%,10,2%,4,1%,0,0%,1,0%,0
Lane,Camas Ridge Community Elementary,FULL SCHOOL GRADES K-12,352,314,89%,309,88%,315,89%,323,92%,313,89%,304,86%,352,303,86%,293,83%,49,14%,36,10%,42,12%,37,11%,39,11%,29,8%,29,8%,42,12%,44,13%,24,7%,0,0%,0,0%,0
